-------------------------------------
PRODIGAL v2.6.3 [February, 2016]         
Univ of Tenn / Oak Ridge National Lab
Doug Hyatt, Loren Hauser, et al.     
-------------------------------------
Request:  Single Genome, Phase:  Training
Reading in the sequence(s) to train...6891420 bp seq created, 60.54 pct GC
Locating all potential starts and stops...471114 nodes
Looking for GC bias in different frames...frame bias scores: 0.63 0.12 2.26
Building initial set of genes to train from...done!
Creating coding model and scoring nodes...done!
Examining upstream regions and training starts...done!
-------------------------------------
Request:  Single Genome, Phase:  Gene Finding
Finding genes in sequence #515 (89 bp)...done!
Finding genes in sequence #516 (89 bp)...done!
Finding genes in sequence #517 (89 bp)...done!
Finding genes in sequence #518 (89 bp)...done!
Finding genes in sequence #519 (89 bp)...done!
Finding genes in sequence #520 (89 bp)...done!
Finding genes in sequence #521 (89 bp)...done!
Finding genes in sequence #522 (89 bp)...done!
Finding genes in sequence #523 (89 bp)...done!
Finding genes in sequence #524 (89 bp)...done!
Finding genes in sequence #525 (88 bp)...done!
Finding genes in sequence #526 (88 bp)...done!
Finding genes in sequence #527 (88 bp)...done!
Finding genes in sequence #528 (88 bp)...done!
Finding genes in sequence #529 (88 bp)...done!
Finding genes in sequence #530 (88 bp)...done!
Finding genes in sequence #531 (88 bp)...done!
Finding genes in sequence #532 (88 bp)...done!
Finding genes in sequence #533 (88 bp)...done!
Finding genes in sequence #534 (88 bp)...done!
Finding genes in sequence #535 (88 bp)...done!
Finding genes in sequence #536 (88 bp)...done!
Finding genes in sequence #537 (87 bp)...done!
Finding genes in sequence #538 (87 bp)...done!
Finding genes in sequence #539 (87 bp)...done!
Finding genes in sequence #540 (87 bp)...done!
Finding genes in sequence #541 (87 bp)...done!
Finding genes in sequence #542 (87 bp)...done!
Finding genes in sequence #543 (86 bp)...done!
Finding genes in sequence #544 (86 bp)...done!
Finding genes in sequence #545 (86 bp)...done!
Finding genes in sequence #546 (86 bp)...done!
Finding genes in sequence #547 (86 bp)...done!
Finding genes in sequence #548 (86 bp)...done!
Finding genes in sequence #549 (85 bp)...done!
Finding genes in sequence #550 (85 bp)...done!
Finding genes in sequence #551 (85 bp)...done!
Finding genes in sequence #552 (85 bp)...done!
Finding genes in sequence #553 (84 bp)...done!
Finding genes in sequence #554 (84 bp)...done!
Finding genes in sequence #555 (84 bp)...done!
Finding genes in sequence #556 (84 bp)...done!
Finding genes in sequence #557 (83 bp)...done!
Finding genes in sequence #558 (83 bp)...done!
Finding genes in sequence #559 (83 bp)...done!
